time,var1,var2,skew1,skew2,kurt1,kurt2,entropy1,entropy2,entropy change1,entropy change2,Shr_stress,TTsF,TTeF
7081.937282,40.73854253,83.90779266,0.090069943,0.006847839,23.79474437,14.49416792,4.5571431,5.0287896,0.74077903,0.95804655,6.33884442,6.7,0.2
7082.037272,39.74978238,81.51298681,0.100123114,0.012091018,24.91755734,15.25830716,4.5233847,4.9806115,1.3271907,1.7008679,6.3358671,6.6,0.1
7082.137262,37.59658813,77.03293806,0.016209531,0.003442417,13.33970431,15.92888996,4.4633508,4.8958979,3.3225988,3.7628771,6.33629243,6.5,0
7082.237292,32.11300666,64.31425445,0.007249338,0.001582119,16.15035227,18.68004181,4.3150515,4.7116712,7.9292678,8.3347765,6.33807252,6.4,7.4
7082.337283,15.28844594,26.63653014,0.026088492,0.124746675,7.698554088,24.94533269,3.9728995,4.318964,3.9175717,4.8217548,6.34119162,6.3,7.3
7082.437273,11.80348121,18.08381549,0.001405796,0.034865431,5.168908344,6.711507025,3.8172583,4.1107141,1.7199658,2.3811138,6.34386963,6.2,7.2
7082.537303,10.69077435,15.59259733,-0.012237177,0.047399737,3.736344125,6.412551828,3.7516028,4.0128333,1.0078081,1.4238426,6.34716725,6.1,7.1
7082.637294,10.12721305,14.37848174,-0.011445951,0.052566954,3.612954815,6.682773988,3.7137938,3.9556969,0.60815311,0.99459837,6.35085871,6,7
7082.737284,9.810635739,13.54742299,-0.016049022,0.050376366,3.584370102,5.057497309,3.6912083,3.9163536,0.46441226,0.76068554,6.35392004,5.9,6.9
7082.837275,9.573642618,12.95999499,-0.017596838,0.034913907,3.469663867,4.094424496,3.6740659,3.8865625,0.32196407,0.57121525,6.35734894,5.8,6.8
7082.937305,9.41799338,12.55377269,-0.015581693,0.02562758,3.472864875,4.021957953,3.6622367,3.8643618,0.2957615,0.42997637,6.36054155,5.7,6.7
7083.037295,9.273479714,12.25385787,-0.013778051,0.025551897,3.423556739,3.898441669,3.6514052,3.847746,0.23353764,0.32511781,6.36457957,5.6,6.6
7083.137286,9.157404522,12.04557151,-0.012854755,0.023990299,3.27804991,3.91012193,3.6428778,3.8352363,0.16370044,0.35815126,6.36860709,5.5,6.5
7083.237316,9.087072177,11.79753033,-0.012526813,0.027316047,3.421719602,3.783711806,3.6369144,3.8215003,0.14846808,0.23591275,6.37198348,5.4,6.4
7083.337306,9.01669842,11.64363148,-0.01149121,0.0267304,3.397890068,3.719873876,3.6315147,3.8124849,0.10887712,0.18332666,6.37554366,5.3,6.3
7083.437297,8.968341771,11.54239623,-0.012595259,0.026376504,3.409006278,3.789631756,3.6275609,3.8054956,0.12756008,0.1785656,6.37977071,5.2,6.2
7083.537287,8.909230115,11.43169196,-0.01234167,0.027165147,3.393092042,3.791908414,3.6229335,3.7987003,0.060105792,0.14050626,6.38314185,5.1,6.1
