time,var1,var2,skew1,skew2,kurt1,kurt2,entropy1,entropy2,entropy change1,entropy change2,Shr_stress,TTsF,TTeF
6598.934292,33.1159293,59.16922874,-0.024211647,0.030066741,7.316095108,8.317751848,4.4946975,4.8799346,1.7055916,1.9490385,5.68598234,5.6,0.1
6599.034282,30.49851308,54.02328756,-0.020605338,0.02542131,7.858552416,9.360115209,4.4180363,4.7848228,3.4907482,3.9116568,5.68604535,5.5,0
6599.134272,24.76539217,42.13677459,-0.009830691,0.01210448,8.620060716,10.9948163,4.2638138,4.597657,5.5610861,6.0040247,5.68699578,5.4,6.7
6599.234302,16.36696424,25.39388656,-0.005787681,-0.004343472,7.287450408,8.947341721,4.0266994,4.3216125,3.5688696,4.1302557,5.68880213,5.3,6.6
6599.334293,13.04094003,18.97090824,-0.025040078,0.008683485,7.188423018,6.921617061,3.8829917,4.1431188,1.8394304,2.3483901,5.69190547,5.2,6.5
6599.434283,11.75520542,16.36196496,-0.026280145,0.015202766,7.524201373,5.534283634,3.8115668,4.0458223,1.1207277,1.6009862,5.69489329,5.1,6.4
6599.534313,11.0811182,14.88328865,-0.023872202,0.021899562,7.994838218,5.451708526,3.7688495,3.9810492,0.79004945,1.0431017,5.69774458,5,6.3
6599.634304,10.52186906,13.98692693,-0.00239179,0.033374273,4.173855439,4.835464571,3.7390738,3.9395228,0.57262164,0.71491979,5.70108947,4.9,6.2
6599.734294,10.21187877,13.44091968,-0.006616048,0.039230348,4.196798487,4.832655276,3.717663,3.9113584,0.38529028,0.53143592,5.7041403,4.8,6.1
6599.834285,10.01213159,13.0714589,-0.008816469,0.039434671,4.150605052,4.972282126,3.7033392,3.890572,0.31094235,0.43614643,5.70742217,4.7,6
6599.934315,9.846209159,12.75150618,-0.010665938,0.034396364,4.080224349,4.654241101,3.691824,3.8736034,0.19984373,0.31158362,5.71165448,4.6,5.9
6600.034305,9.747200228,12.53881458,-0.01123219,0.035072419,4.100106292,4.330108572,3.6844461,3.8615339,0.14349157,0.28982546,5.7151884,4.5,5.8
6600.134296,9.707197781,12.3323307,-0.011656763,0.030150817,5.079091988,4.215950703,3.6791592,3.8503422,0.13507646,0.28407769,5.71914765,4.4,5.7
6600.234326,9.640950969,12.13137782,-0.010337942,0.028696073,5.105515646,4.120793525,3.6741895,3.8394042,0.10930903,0.20711424,5.72226675,4.3,5.6
6600.334316,9.590186882,11.99862288,-0.011334992,0.025213023,5.143074167,4.071736323,3.6701733,3.8314523,0.080975716,0.12100842,5.72611573,4.2,5.5
6600.434307,9.551496986,11.94517294,-0.012044739,0.030704455,5.161157751,4.456742776,3.6672014,3.8268159,0.046172585,0.042568778,5.72943436,4.1,5.4
6600.534297,9.531708288,11.91802197,-0.011860385,0.030002951,5.252207188,4.460638456,3.6655081,3.8251869,0.089482864,0.10139147,5.73341462,4,5.3
6600.634327,9.486728448,11.84464891,-0.011926309,0.031397742,5.24599691,4.394210492,3.6622281,3.8213085,0.05000399,0.065766199,5.73761542,3.9,5.2
6600.734317,9.46083664,11.80447536,-0.011772416,0.031803027,5.240267782,4.415186413,3.6603969,3.8187953,0.13744593,0.054430424,5.7414224,3.8,5.1
6600.834308,9.354133751,11.77215207,-0.017285278,0.032696918,4.471373351,4.581734532,3.6553658,3.8167167,0.018022845,0.031284483,5.74466226,3.7,5
